Code Class,Name,Accession,20180209_USDA 45 020918_1 B cell _07.RCC,20180209_USDA 45 020918_1 CD4+ CD8+_03.RCC,20180209_USDA 45 020918_1 CD4+ CD8-_04.RCC,20180209_USDA 45 020918_1 CD4- CD8+_05.RCC,20180209_USDA 45 020918_1 Gd T cell_01.RCC,20180209_USDA 45 020918_1 Monocyte_02.RCC,20180209_USDA 45 020918_1 NK cell_06.RCC,20180209_USDA 45 020918_2 CD4+ CD8+_10.RCC,20180209_USDA 45 020918_2 CD4+ CD8-_12.RCC,20180209_USDA 45 020918_2 CD4- CD8+_11.RCC,20180209_USDA 45 020918_2 Gd T cell_08.RCC,20180209_USDA 45 020918_2 Monocyte_09.RCC,20180209_USDA 46 020918_1 PBMC_10.RCC,20180209_USDA 46 020918_2 B cell _02.RCC,20180209_USDA 46 020918_2 NK cell_01.RCC,20180209_USDA 46 020918_2 PBMC_11.RCC,20180209_USDA 46 020918_3 B cell _09.RCC,20180209_USDA 46 020918_3 CD4+ CD8+_05.RCC,20180209_USDA 46 020918_3 CD4+ CD8-_06.RCC,20180209_USDA 46 020918_3 CD4- CD8+_07.RCC,20180209_USDA 46 020918_3 Gd T cell_03.RCC,20180209_USDA 46 020918_3 Monocyte_04.RCC,20180209_USDA 46 020918_3 NK cell_08.RCC,20180209_USDA 46 020918_3 PBMC_12.RCC
Endogenous,CDKN2A,CDKN2A,2,3,12,33,4,4,7,21,27,9,29,9,18,19,21,3,2,16,21,17,37,7,52,4
Endogenous,CFB,CFB,1,1,3,15,1,3,15,6,6,7,19,12,11,7,15,1,5,13,18,4,16,8,7,5
Endogenous,CIITA,CIITA,30,26,20,95,4,44,25,38,36,19,55,56,55,52,50,41,61,29,27,38,58,26,49,54
Endogenous,CR1,CR1,40,11,8,51,5,12,10,15,28,6,36,3,52,63,26,20,29,10,24,18,43,22,39,29
Endogenous,CTNNB1,CTNNB1,149,414,574,647,458,249,409,349,455,349,434,299,318,201,446,248,127,312,393,274,384,255,297,211
Endogenous,CTSB,CTSB,86,108,94,77,32,574,69,113,82,64,99,489,178,100,58,273,50,126,84,84,88,369,85,111
Endogenous,CTSC,CTSC,168,580,719,628,605,1480,309,671,762,511,560,1129,572,202,419,608,149,656,666,461,580,938,333,313
Endogenous,CTSL1,CTSL1,7,12,17,37,5,4,25,33,13,10,43,9,22,27,22,5,11,10,24,26,34,17,29,10
Endogenous,CTSS,CTSS,438,203,186,179,210,2792,179,176,135,110,198,3132,683,631,120,1353,306,206,141,98,146,1784,127,565
Endogenous,CYBB,CYBB,73,19,12,33,7,373,17,25,19,10,35,451,118,104,22,166,61,6,24,21,30,244,29,52
Endogenous,DHX58,DHX58,8,38,26,44,19,37,20,50,46,26,50,61,45,22,32,18,2,21,54,37,45,17,36,10
Endogenous,DNTT,DNTT,6,2,3,4,1,3,2,6,2,1,3,1,5,4,2,7,2,2,12,1,1,2,3,2
Endogenous,EGLN1,EGLN1,57,117,97,164,106,63,115,100,96,86,123,80,121,71,120,73,73,110,147,105,116,70,157,73
Endogenous,EGLN2,EGLN2,21,29,39,62,37,31,51,31,32,37,43,33,43,32,60,37,45,33,87,54,41,22,75,37
Endogenous,ETS1,ETS1,153,411,441,544,452,10,392,364,328,294,373,9,262,147,389,149,152,387,336,288,360,40,359,177
Endogenous,F8,F8,2,7,14,40,22,4,7,17,19,9,42,4,14,17,12,2,2,5,15,12,47,3,7,5
Endogenous,FAS,FAS,12,81,22,91,15,13,49,84,19,37,21,16,44,27,43,27,27,76,81,45,32,18,26,34
Endogenous,FCER1G,FCER1G,29,3,6,4,1,257,135,6,2,32,7,270,67,37,161,115,11,5,3,8,4,248,209,25
Endogenous,FCGR1A,FCGR1A,1,1,2,4,1,31,7,2,1,2,3,44,5,1,3,11,2,1,3,1,1,21,20,2
Endogenous,FCGR2B,FCGR2B,56,10,14,44,2,203,25,52,24,22,59,241,121,122,39,121,52,29,42,29,60,302,36,95
Endogenous,FN1,FN1,5,12,26,73,7,93,49,50,48,17,92,193,34,29,62,62,4,30,57,50,94,200,52,16
